country,gpc
AFGHANISTAN,493.7504181
ANGOLA,3289.646664
ALBANIA,5284.380184
ANDORRA,41793.05526
ARAB WORLD,6601.825189
UAE,43839.35635
ARGENTINA,11633.49801
ARMENIA,4220.490277
AMERICAN SAMOA,11466.69071
ANTIGUA AND BARBUDA,16672.74424
AUSTRALIA,57354.96405
AUSTRIA,51478.28526
AZERBAIJAN,4739.84171
BURUNDI,271.7520444
BELGIUM,47583.07494
BENIN,1240.829464
BURKINA FASO,813.096849
BANGLADESH,1698.350394
BULGARIA,9427.73043
BAHRAIN,23991.05668
"BAHAMAS, THE",33767.50337
BOSNIA AND HERZEGOVINA,6072.184623
BELARUS,6330.075246
BELIZE,4884.734162
BERMUDA,113021.4174
BOLIVIA,3548.590155
BRAZIL,9001.234249
BARBADOS,17745.19346
BRUNEI DARUSSALAM,31628.32879
BHUTAN,3243.486036
BOTSWANA,8279.601739
CENTRAL AFRICAN REPUBLIC,475.9536099
CANADA,46313.17137
CENTRAL EUROPE AND THE BALTICS,16037.4819
SWITZERLAND,82818.10816
CHANNEL ISLANDS,
CHILE,15924.79424
CHINA,9976.677137
COTE D'IVOIRE,2314.050681
CAMEROON,1534.493702
"CONGO, DEM. REP.",557.0644183
"CONGO, REP.",2577.701705
COLOMBIA,6716.911598
COMOROS,1415.955313
CABO VERDE,3617.327489
COSTA RICA,12112.13442
CARIBBEAN SMALL STATES,10187.21231
CUBA,8821.818891
CURACAO,19573.89265
CAYMAN ISLANDS,85975.02474
CYPRUS,28689.70672
CZECH REPUBLIC,23415.84363
GERMANY,47810.50767
DJIBOUTI,3141.889219
DOMINICA,7693.87887
DENMARK,61598.5367
DOMINICAN REPUBLIC,8050.63044
ALGERIA,4153.733978
EAST ASIA & PACIFIC (EXCLUDING HIGH INCOME),7971.673386
EARLY-DEMOGRAPHIC DIVIDEND,3585.307952
EAST ASIA & PACIFIC,11318.34574
EUROPE & CENTRAL ASIA (EXCLUDING HIGH INCOME),8031.821416
